upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_date,stop_date
FEA55,A,C7F55,A,e,ea,2014-10-01 07:00:00+00:00,
FEA55,A,C7F55,A,n,na,2014-10-01 07:00:00+00:00,
FEA56,A,C7F56,A,e,ea,2014-10-01 07:00:00+00:00,
FEA56,A,C7F56,A,n,na,2014-10-01 07:00:00+00:00,
FEA57,A,C7F57,A,e,ea,2014-10-01 07:00:00+00:00,
FEA57,A,C7F57,A,n,na,2014-10-01 07:00:00+00:00,
FEA58,A,C7F58,A,e,ea,2014-10-01 07:00:00+00:00,
FEA58,A,C7F58,A,n,na,2014-10-01 07:00:00+00:00,
FEA59,A,C7F59,A,e,ea,2014-10-01 07:00:00+00:00,
FEA59,A,C7F59,A,n,na,2014-10-01 07:00:00+00:00,
FEA5,A,C7F5,A,e,ea,2014-10-01 07:00:00+00:00,
FEA5,A,C7F5,A,n,na,2014-10-01 07:00:00+00:00,
FEA60,A,C7F60,A,e,ea,2014-10-01 07:00:00+00:00,
FEA60,A,C7F60,A,n,na,2014-10-01 07:00:00+00:00,
FEA61,A,C7F61,A,e,ea,2014-10-01 07:00:00+00:00,
FEA61,A,C7F61,A,n,na,2014-10-01 07:00:00+00:00,
FEA62,A,C7F62,A,e,ea,2014-10-01 07:00:00+00:00,
FEA62,A,C7F62,A,n,na,2014-10-01 07:00:00+00:00,
FEA63,A,C7F63,A,e,ea,2014-10-01 07:00:00+00:00,
FEA63,A,C7F63,A,n,na,2014-10-01 07:00:00+00:00,
FEA64,A,C7F64,A,e,ea,2014-10-01 07:00:00+00:00,
FEA64,A,C7F64,A,n,na,2014-10-01 07:00:00+00:00,
FEA65,A,C7F65,A,e,ea,2014-10-01 07:00:00+00:00,
FEA65,A,C7F65,A,n,na,2014-10-01 07:00:00+00:00,
FEA66,A,C7F66,A,e,ea,2014-10-01 07:00:00+00:00,
FEA66,A,C7F66,A,n,na,2014-10-01 07:00:00+00:00,
FEA67,A,C7F67,A,e,ea,2014-10-01 07:00:00+00:00,
FEA67,A,C7F67,A,n,na,2014-10-01 07:00:00+00:00,
FEA68,A,C7F68,A,e,ea,2014-10-01 07:00:00+00:00,
FEA68,A,C7F68,A,n,na,2014-10-01 07:00:00+00:00,
FEA69,A,C7F69,A,e,ea,2014-10-01 07:00:00+00:00,
FEA69,A,C7F69,A,n,na,2014-10-01 07:00:00+00:00,
FEA6,A,C7F6,A,e,ea,2014-10-01 07:00:00+00:00,
FEA6,A,C7F6,A,n,na,2014-10-01 07:00:00+00:00,
FEA70,A,C7F70,A,e,ea,2014-10-01 07:00:00+00:00,
FEA70,A,C7F70,A,n,na,2014-10-01 07:00:00+00:00,
FEA71,A,C7F71,A,e,ea,2014-10-01 07:00:00+00:00,
FEA71,A,C7F71,A,n,na,2014-10-01 07:00:00+00:00,
FEA72,A,C7F72,A,e,ea,2014-10-01 07:00:00+00:00,
FEA72,A,C7F72,A,n,na,2014-10-01 07:00:00+00:00,
FEA73,A,C7F73,A,e,ea,2014-10-01 07:00:00+00:00,
FEA73,A,C7F73,A,n,na,2014-10-01 07:00:00+00:00,
FEA74,A,C7F74,A,e,ea,2014-10-01 07:00:00+00:00,
FEA74,A,C7F74,A,n,na,2014-10-01 07:00:00+00:00,
FEA75,A,C7F75,A,e,ea,2014-10-01 07:00:00+00:00,
FEA75,A,C7F75,A,n,na,2014-10-01 07:00:00+00:00,
FEA76,A,C7F76,A,e,ea,2014-10-01 07:00:00+00:00,
FEA76,A,C7F76,A,n,na,2014-10-01 07:00:00+00:00,
FEA77,A,C7F77,A,e,ea,2014-10-01 07:00:00+00:00,
FEA77,A,C7F77,A,n,na,2014-10-01 07:00:00+00:00,
FEA78,A,C7F78,A,e,ea,2014-10-01 07:00:00+00:00,
FEA78,A,C7F78,A,n,na,2014-10-01 07:00:00+00:00,
FEA79,A,C7F79,A,e,ea,2014-10-01 07:00:00+00:00,
FEA79,A,C7F79,A,n,na,2014-10-01 07:00:00+00:00,
FEA7,A,C7F7,A,e,ea,2014-10-01 07:00:00+00:00,
FEA7,A,C7F7,A,n,na,2014-10-01 07:00:00+00:00,
FEA80,A,C7F80,A,e,ea,2014-10-01 07:00:00+00:00,
FEA80,A,C7F80,A,n,na,2014-10-01 07:00:00+00:00,
FEA81,A,C7F81,A,e,ea,2014-10-01 07:00:00+00:00,
FEA81,A,C7F81,A,n,na,2014-10-01 07:00:00+00:00,
FEA82,A,C7F82,A,e,ea,2014-10-01 07:00:00+00:00,
FEA82,A,C7F82,A,n,na,2014-10-01 07:00:00+00:00,
FEA83,A,C7F83,A,e,ea,2014-10-01 07:00:00+00:00,
FEA83,A,C7F83,A,n,na,2014-10-01 07:00:00+00:00,
FEA84,A,C7F84,A,e,ea,2014-10-01 07:00:00+00:00,
FEA84,A,C7F84,A,n,na,2014-10-01 07:00:00+00:00,
FEA85,A,C7F85,A,e,ea,2014-10-01 07:00:00+00:00,
FEA85,A,C7F85,A,n,na,2014-10-01 07:00:00+00:00,
FEA86,A,C7F86,A,e,ea,2014-10-01 07:00:00+00:00,
FEA86,A,C7F86,A,n,na,2014-10-01 07:00:00+00:00,
FEA87,A,C7F87,A,e,ea,2014-10-01 07:00:00+00:00,
FEA87,A,C7F87,A,n,na,2014-10-01 07:00:00+00:00,
FEA88,A,C7F88,A,e,ea,2014-10-01 07:00:00+00:00,
FEA88,A,C7F88,A,n,na,2014-10-01 07:00:00+00:00,
FEA89,A,C7F89,A,e,ea,2014-10-01 07:00:00+00:00,
FEA89,A,C7F89,A,n,na,2014-10-01 07:00:00+00:00,
FEA8,A,C7F8,A,e,ea,2014-10-01 07:00:00+00:00,
FEA8,A,C7F8,A,n,na,2014-10-01 07:00:00+00:00,
FEA90,A,C7F90,A,e,ea,2014-10-01 07:00:00+00:00,
FEA90,A,C7F90,A,n,na,2014-10-01 07:00:00+00:00,
FEA91,A,C7F91,A,e,ea,2014-10-01 07:00:00+00:00,
FEA91,A,C7F91,A,n,na,2014-10-01 07:00:00+00:00,
FEA92,A,C7F92,A,e,ea,2014-10-01 07:00:00+00:00,
FEA92,A,C7F92,A,n,na,2014-10-01 07:00:00+00:00,
FEA93,A,C7F93,A,e,ea,2014-10-01 07:00:00+00:00,
